poi ville code_postale code_insee region code_departement departement latitude longitude createur_donnée fournisseur id_poi photo categorie_mere sous_categorie
"VISITE HISTOIRES GOURMANDES DE LORRAINE" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.693618 6.183241 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/0009ac2d-3276-35f9-848d-1d43c8d64aa6 False Produit Visite
"VISITE GUIDÉE DE METZ - METZ COSTUMÉE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/008367d6-62eb-3b47-aae3-8228fb7510e5 False Produit Visite
"VISITE GUIDÉE DE METZ - METZ INCONTOURNABLE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/067621c1-9f51-3239-b26e-85f59d43d102 False Produit Visite
"VAUBAN PREND L'APÉRO" 195 54400 54323 "Grand Est" 54 Meurthe-et-Moselle 49.52409 5.76336 "OT DU PAYS DE LONGWY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/08dd7d02-83c3-3431-96d6-3b325700cc68 False Produit Visite
"VAUBAN EN LUMIÈRE" 195 54400 54323 "Grand Est" 54 Meurthe-et-Moselle 49.524074 5.763238 "OT DU PAYS DE LONGWY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/09e4b7b7-cc98-3d08-8603-fdc5d1ea6ff4 False Produit Visite
"ATELIER PATCHWORK" 3 88240 88029 "Grand Est" 88 Vosges 48.000978 6.265211 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/0dcb8fc5-8674-382c-ac99-7f05fba62c74 False Produit Pratique
"VISITE ÉCLAIR 'LE PORTAIL DE L'ÉGLISE SAINT-ÉTIENNE'" 85 55000 55029 "Grand Est" 55 Meuse 48.768206 5.15939 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/11eccdef-853c-35d4-bdd2-73c4523d9c69 False Produit Visite
"DÉCOUVERTE DU SITE MÉDIEVAL DU VIEUX-HOMBOURG" 92 57470 57332 "Grand Est" 57 Moselle 49.123934 6.774725 "OFFICE DE TOURISME PAYS DE FREYMING-MERLEBACH" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/164b1a9b-67a5-33ba-8202-e166b80fbe5e False Produit Visite
"VISITE GUIDÉE DE METZ -  DE LA CATHÉDRALE À LA PLACE DE LA COMÉDIE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/23610ae2-ea18-309e-ba79-5bb45a930d96 False Produit Visite
"VISITE GUIDÉE DE METZ -  DE LA LANTERNE DU BON DIEU À LA GARE IMPÉRIALE DE GUILLAUME II" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/26ee77ec-80ea-3dba-9ac4-a113a5fc6bde False Produit Visite
"APRÈS MIDI JEU EN LIGNE GARTIC PHONE" 119 88500 88304 "Grand Est" 88 Vosges 48.301526 6.135134 "OT MIRECOURT" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/2994f128-9ad3-3aba-84e9-680565fb4791 False Produit Pratique
"VISITE GUIDÉE DE METZ - LUMIÈRE SUR CHAGALL - VISITE FAMILLE" 13 57000 57463 "Grand Est" 57 Moselle 49.115834 6.183549 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/2a2d8642-83a2-37c4-8c3a-e952c497ec87 False Produit Visite
"VISITE ET GOUTER AU MOULIN GENTREY" 3 88240 88029 "Grand Est" 88 Vosges 48.049571 6.249247 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/2aa4d311-e4c4-3040-ab3f-59aaf9d35757 False Produit Visite
"VISITE GUIDÉE DE METZ -  LA CATHÉDRALE DE METZ EN LANGUE DES SIGNES FRANÇAISE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/2be2b84b-0926-3f22-8056-0126e2167cf7 False Produit Visite
"VISITE GUIDÉE DE METZ - DE LA CATHÉDRALE À LA PORTE DES ALLEMANDS" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/2c518eec-3298-3fee-8c7e-7465d70ac102 False Produit Visite
"ACTIVITÉS PARENTS-ENFANTS : BRICOLAGE DRAGON" 11 57400 57630 "Grand Est" 57 Moselle 48.731881 7.058421 "TOURISME SARREBOURG MOSELLE SUD - SITE SARREBOURG" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/301fcbe9-fed8-3640-8850-bb0b89e88d83 False Produit Pratique
"CONTES BRICOLÉS - CONTES MODELÉS" 119 88500 88304 "Grand Est" 88 Vosges 48.301604 6.135217 "OT MIRECOURT" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/3130e682-9ebb-3b02-a784-c15a6a5dce8a False Produit Pratique
"VISITE GUIDÉE DE METZ - GRAMMAIRE D'UNE CATHÉDRALE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/33ef3b76-ca71-3ace-9c22-7d7013b3d01e False Produit Visite
"TOUS A L'EAU" 9 88800 88516 "Grand Est" 88 Vosges 48.207177 5.941554 "DESTINATION VITTEL-CONTREXEVILLE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/34390077-304d-3640-a9f4-2c5ff8cae0e7 False Produit Pratique
"LA MERVEILLEUSE HISTOIRE DU COMPOST" 727 88240 88520 "Grand Est" 88 Vosges 48.031609 6.273108 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/34881c88-300b-3937-b8ae-3c3900e892f4 False Produit Pratique
"VISITE DE LA MANUFACTURE ROYALE" 3 88240 88029 "Grand Est" 88 Vosges 47.995436 6.235428 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/353e85d8-721a-3755-b8f3-1d75f3061402 False Produit Visite
"VISITE ÉCLAIR 'LE CAFÉ DES OISEAUX'" 85 55000 55029 "Grand Est" 55 Meuse 48.773647 5.159634 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/3ca03ab1-6361-3f7b-92f0-91bdcefcb0be False Produit Visite
"ATELIER A QUI TU JOUES ? AU THÉÂTRE GÉRARD PHILIPE" 252 54390 54215 "Grand Est" 54 Meurthe-et-Moselle 48.760139 6.12932 "TOURISME BASSIN de POMPEY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/3eca6380-5995-3407-bbd1-7530a4ab8d78 True Produit Pratique
"VISITE GUIDÉE DE L'OUVRAGE DU MICHELSBERG" 458 57320 57186 "Grand Est" 57 Moselle 49.279574 6.401106 "OT DU BOUZONVILLOIS PAYS DE SIERCK" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/4201f194-9a9d-309f-b953-2cbacd48e76b False Produit Visite
"VISITE GUIDÉE 'LES VARIN-BERNIER À BAR-LE-DUC'" 85 55000 55029 "Grand Est" 55 Meuse 48.776889 5.161666 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/44c8891e-3048-3c08-b8bd-82d3e2405cb9 False Produit Visite
"VISITE THÉMATIQUE 'POISSON D’AVRIL'" 85 55000 55029 "Grand Est" 55 Meuse 48.771623 5.157296 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/46e4fe2d-37ec-3573-8017-65742b0f8a10 False Produit Visite
"DU PANIER A L'ASSIETTE" 727 88240 88520 "Grand Est" 88 Vosges 48.039988 6.278687 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/4778eecd-d248-30a1-a7e8-71fc1db2bc47 False Produit Pratique
"ATELIER - VIENS CRÉER TON CASSE TÊTE" 119 88500 88304 "Grand Est" 88 Vosges 48.301604 6.135217 "OT MIRECOURT" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/488ac81d-2b5a-39bd-b102-ddb8cc81b027 False Produit Pratique
"CLUB NATURE AU CPIE" 244 55160 55060 "Grand Est" 55 Meuse 49.096614 5.591055 "MEUSE ATTRACTIVITE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/4a8ab047-b5a3-3473-901c-eba8c1c2803f False Produit Pratique
"ACTIVITÉS PARENTS-ENFANTS : BRICOLAGE FÊTE DES MAMIES" 11 57400 57630 "Grand Est" 57 Moselle 48.731881 7.058421 "TOURISME SARREBOURG MOSELLE SUD - SITE SARREBOURG" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/5052d3b8-7e07-3b12-9d98-c8bcbd6bb311 False Produit Pratique
"VISITE GUIDÉE DU CHAMP DE BATAILLE EN VOITURE" 240 55100 55537 "Grand Est" 55 Meuse 49.216239 5.439012 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/5c647d5a-df4a-3146-b660-497ec85fb3ec False Produit Visite
"ATELIERS ARTISTIQUES-LES PETITS COUCOUS" 36 57600 57227 "Grand Est" 57 Moselle 49.185577 6.895502 "FORBACH TOURISME" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/5c68abc4-db9c-3b24-99f5-193349f1b4f3 False Produit Pratique
"LES FORÊTS DE L'HISTOIRE 14-18" 5 55100 55545 "Grand Est" 55 Meuse 49.161677 5.388387 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/5d945656-ea47-35e8-aa49-2c88987f8304 False Produit Visite
"CAFÉ LITTÉRAIRE" 119 88500 88304 "Grand Est" 88 Vosges 48.301419 6.135131 "OT MIRECOURT" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/680356f9-91b1-3338-99b0-82d4e03451c1 False Produit Pratique
"ATELIER PEINTURE -  À LA MANIÈRE DE" 119 88500 88304 "Grand Est" 88 Vosges 48.301604 6.135217 "OT MIRECOURT" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/6a6bdfdb-719d-3d77-abb9-e6420042b0f7 False Produit Pratique
"VISITE - L'ART NOUVEAU AU CŒUR DES AFFAIRES -" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.6924 6.188607 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/6d0be00f-0307-341b-b8db-9a9cdc118cee False Produit Visite
"FONTENOY-LE-CHÂTEAU SE RACONTE EN BALADE" 3 88240 88029 "Grand Est" 88 Vosges 48.000695 6.264466 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/6ec4c6f2-3e5b-3ef5-9769-1541d8ec1986 False Produit Visite
"ATELIER A L'IMPROVISTE! AU THEATRE GERARD PHILIPE" 252 54390 54215 "Grand Est" 54 Meurthe-et-Moselle 48.760139 6.12932 "TOURISME BASSIN de POMPEY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/6f071297-719f-3a5e-ab4a-0c16465e5e3d False Produit Pratique
"VISITE - NANCY INSOLITE -" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.698872 6.177816 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/712876fc-ea4e-3b0a-9d4f-1dcbb5d7971b False Produit Visite
"VISITES-TRANSAT 'LE COLLÈGE GILLES DE TRÈVES'" 85 55000 55029 "Grand Est" 55 Meuse 48.772764 5.155497 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/73b4926c-be93-374a-8230-a0db67032c57 False Produit Visite
"VISITE VIRTUELLE DES FORTIFICATIONS DE VAUBAN" 195 54400 54323 "Grand Est" 54 Meurthe-et-Moselle 49.52414 5.76319 "OT DU PAYS DE LONGWY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/78794353-f09a-32be-8dff-c09d0b0f433e False Produit Visite
"DÉCOUVERTE DU CENTRE HISTORIQUE DE NANCY" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.696038 6.178979 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/7a8bad4f-0ffb-30f6-9a51-be6c5f444a76 False Produit Visite
"VISITE THÉMATIQUE 'LA BEAUTÉ AU FÉMININ'" 85 55000 55029 "Grand Est" 55 Meuse 48.771623 5.157296 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/7ecc137f-081b-31f5-8ecb-c93e9d30b0a0 False Produit Visite
"VISITE GUIDÉE DE METZ - SUR LES PAS DE VERLAINE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/80fe5ab0-ee1a-34a9-affa-acd313bffd0a False Produit Visite
"RACONTER DES SALADES - L'HISTOIRE DES EXPRESSIONS FRANÇAISES" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.696038 6.178979 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/865f0d23-22a4-3723-a86a-d992392b118a False Produit Visite
"JOURNEEES EUROPEENNES DU PATRIMOINE - LES MONUMENTS RELIGIEUX" 26 88000 88160 "Grand Est" 88 Vosges 48.174125 6.450838 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/8955a722-3368-32cc-b1b6-7889d19c10e4 False Produit Visite
"VISITE A LA LANTERNE DU CAMP MARGUERRE" 841 55230 55299 "Grand Est" 55 Meuse 49.29005 5.568375 "OT DES PORTES DE VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/8fa8a5b2-9cec-386b-ad98-6e520b51fbb2 False Produit Visite
"ATELIER 'PRENDRE LA PAROLE - LIRE A VOIX HAUTE '" 128 55300 55463 "Grand Est" 55 Meuse 48.889431 5.545034 "OT COEUR DE LORRAINE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/946a5caa-90df-32aa-babd-33668299041e True Produit Pratique
